character	killed by	death	type	quest
<10> Girros	Hunter (MHWI) | Meowscular Chef	Slain by the Hunter, contracted by the Meowscular Chef		★6 Chef Quest! A Rotten Request
<10> Wulgs	Hunter (MHWI) | Bewildered Expert	Slain by the Hunter, contracted by the Bewildered Expert		MR★1 Call of the Wild
<11> Shamos	Hunter (MHWI) | Meowscular Chef	Slain by the Hunter, contracted by the Meowscular Chef		★4 It's a Crying Shamos
<13> Gastodon	Hunter (MHWI) | Foraging Felyne	Slain by the Hunter, contracted by the Foraging Felyne		★6 A Meow for Help
<14> Hornetaur	Hunter (MHWI) | Chief Botanist	Hunted by the Hunter, contracted by the Chief Botanist		★4 Persistent Pests
<14> Vespoid	Hunter (MHWI) | Meowscular Chef	Slain by the Hunter, contracted by the Meowscular Chef		★2 Exterminator of the Waste
<15> Vespoid	Hunter (MHWI) | Seliana Melder	Hunted by the Hunter, contracted by the Seliana Melder		MR★2 Bugger Off Bugs!
<1> Acidic Glavenus	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★4 Special Arena: MR Acidic Glavenus
<1> Acidic Glavenus	Hunter (MHWI) | Vice Chief Ecologist	Hunted by the Hunter, contracted by the Vice Chief Ecologist		MR★4 This Corroded Blade
<1> Anjanath	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★2 Special Arena: MR Anjanath
<1> Anjanath	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★4 Special Arena: Anjanath
<1> Anjanath	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★6 Special Arena: HR Anjanath
<1> Anjanath	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★2 Anjanath Antics
<1> Anjanath	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★4 One Helluva Sinus Infection
<1> Anjanath	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		MR★2 Stick Your Nose Somewhere Else
<1> Anjanath	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 It Can't See You if You Don't Move
<1> Anjanath	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Trespassing Troublemaker
<1> Azure Rathalos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★4 Special Arena: MR Azure Rathalos
<1> Azure Rathalos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★7 Special Arena: HR Azure Rathalos
<1> Azure Rathalos	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★7 The Red and Blue Crew
<1> Azure Rathalos	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★4 Blue Rathalos Blues
<1> Azure Rathalos	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		MR★4 These Azure Eyes See All
<1> Azure Rathalos	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★7 Rathalos in Blue
<1> Azure Rathalos	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★7 Ruler of the Azure Skies
<1> Banbaro	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★1 Special Arena: MR Banbaro
<1> Banbaro	Hunter (MHWI) | Vice Chief Ecologist	Hunted by the Hunter, contracted by the Vice Chief Ecologist		MR★1 Taking Charge
<1> Barioth	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Barioth
<1> Barioth	Hunter (MHWI) | Reliable Fiver	Hunted by the Hunter, contracted by the Reliable Fiver		MR★3 Remember That One Time?
<1> Barroth	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★1 Special Arena: MR Barroth
<1> Barroth	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★3 Special Arena: Barroth
<1> Barroth	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★6 Special Arena: HR Barroth
<1> Barroth	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★1 Dragged Through the Mud
<1> Barroth	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★3 Mired in the Spire
<1> Barroth	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 A Crown of Mud and Anger
<1> Bazelgeuse	Hunter (MHWI) | Smart Biologist	Hunted by the Hunter, contracted by the Smart Biologist		★7 Bazelgeuse in the Field of Fire
<1> Behemoth	Hunter (MHWI) | Serious Handler	Slain by the Hunter, contracted by the Serious Handler		★9 A Visitor from Eorzea
<1> Beotodus	Hunter (MHWI) | Studious Biologist	Hunted by the Hunter, contracted by the Studious Biologist		MR★1 Deep Snow Diver
<1> Black Diablos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★4 Special Arena: MR Black Diablos
<1> Black Diablos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★7 Special Arena: HR Black Diablos
<1> Black Diablos	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★4 In the Heat of the Moment
