character	killed by	death	type	quest
<1> Acidic Glavenus	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		MR★4 Arena Master Quest 04
<1> Anjanath	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★7 What Lurks In The Forest
<1> Anjanath	Hunter (MHWI) | Pub Arena Manager	Slain by the Hunter, contracted by the Pub Arena Manager		MR★4 Challenge Quest 2: MR Intermediate
<1> Azure Rathalos	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Arena Quest 07
<1> Banbaro	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		MR★1 Arena Master Quest 01
<1> Barroth	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★6 Arena Quest 05
<1> Barroth	Hunter (MHWI) | Martial Artist in White	Slain by the Hunter, contracted by the Martial Artist in White		★3 Down the Dark, Muddy Path
<1> Bazelgeuse	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★7 When Law Meets War
<1> Black Diallos	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★8 Arena Quest 09
<1> Brute Tigrex	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		MR★6 Arena Master Quest 07
<1> Deviljho	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★7 Deviljho Slay Event
<1> Diablos	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★8 Arena Quest 09
<1> Dodogama	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★6 Arena Quest 06
<1> Ebony Odogaron	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		MR★4 Arena Master Quest 05
<1> Fulgur Anjanath	Hunter (MHWI) | Pub Arena Manager	Slain by the Hunter, contracted by the Pub Arena Manager		MR★4 Challenge Quest 2: MR Intermediate
<1> Great Jagras	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★7 What Lurks In The Forest
<1> Kulu-Ya-Ku	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★2 Arena Quest 02
<1> Kulu-Ya-Ku	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★2 Challenge Quest 1: Beginner
<1> Kulu-Ya-Ku	Hunter (MHWI) | Stupendous Crew	Slain by the Hunter, contracted by the Stupendous Crew		★2 USJ Beginners Challenge!
<1> Kushala Daora	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★8 The Best of the Best
<1> Legiana	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Gale & Fangs Slay Event 1
