character	killed by	death	type	loop


<20,000,000,000+> lives	Erebus	Destroyed alongside their world by Erebus, before Dolos joined him (billions upon billions mentioned per world, at least 5 worlds since the rate was 5 out of 100 lost)		
<4,000,000,000+> lives	Erebus	Destroyed alongside their world by Erebus after Dolos joined Chronos (billions upon billions mentioned per world)		
<24,000,000,000+> lives	Erebus	Destroyed alongside their world by Erebus, after Dolos left him (billions upon billions mentioned per world, at least 6 worlds since the rate got higher than 5 out of 100 lost)		
<4,000,000,000+> lives	Erebus | Dolos	Destroyed alongside their world by Erebus, caused by Dolos' Champion killing Chronos' on orders from Dolos (billions upon billions mentioned per world)		
<12,000,000,000+> lives	Erebus | Dolos	Destroyed alongside their world by Erebus, caused by Dolos' tempering (billions upon billions mentioned per world, several worlds)		
<4,000,000,000+> lives		Eventually destroyed each other through wars even after Arabella saved their world from Erebus (billions upon billions mentioned per world)		

<1> Bloodwretch	Lady Mikaela	Impaled by Lady Mikaela using Shadow Step		
<3+> Undead	Lady Mikaela	Slain by Lady Mikaela during her first exploration of the Tomb of Gaelith (several mentioned)		
Henry's mother		Died from unknown causes		
Arabella Smith	Arabella Smith | Erebus	Blew herself up in order to defeat Erebus		
<2+> Balthor's family		Died long before he saved his world		
Aric Kelltins' father		Died from unknown causes		
Aric Kelltins' mother		Died from unknown causes		
Richard Renner		Died from unknown causes		
Christian Renner's father		Died from unknown causes		
Edmund III		Died from unknown causes		
Jutta the Wise		Died from unknown causes		
Spurius Axul (Original)		Died of old age		
Alisia	Lysandra	Frozen and shattered into icicles by Lysandra		
<1> Chronos' previous Champion	Dolos	Slain by one of Dolos' previous Champions on his orders		
<1> Chronos' previous Champion	Dolos	Fatally wounded by one of Dolos' previous Champions on his orders		
<1> Dolos' previous Champion	Chronos	Slain by one of Chronos' previous Champions on his orders		
Celeste		Died from unknown causes		
Marcus	Lysandra	Pushed down into the Void by Lysandra		
Megara	Lysandra	Turned into an undead by Lysandra	undead	
Megara	Aidan Dar	Eventually purged alongside Erebus by Aidan Dar		66
Avos	Lysandra	Pushed down into the Void by Lysandra		
Avos' partner	Lysandra	Turned into an undead by Lysandra	undead	
Avos' partner	Aidan Dar	Eventually purged alongside Erebus by Aidan Dar		66
Diona's father	Lysandra	Pushed down into the Void by Lysandra		
<65> Priestesses of Axul	Lysandra	Turned into the Razor Basilisk by Lysandra	undead	
First Noctyra's mother	Lysandra	Murdered by Lysandra		
Venezia		Died from unknown causes		
Pack Leader	Lysandra	Burned by Lysandra's barrier and later reanimated as an undead	undead	
Lysandra	Gaelith Alloraine	Murdered by Gaelith Alloraine (reanimated herself as an undead)	undead	
{3+} Lysandra	Gaelith Alloraine	Murdered by Gaelith Alloraine (several mentioned) (resurrected herself with her magic)	undead	
<1> trout	Aidan Dar | Yana	Fished by Aidan Dar and Yana		
Rosa	Karl Kaelstrife	Throat slit by the Silverfangs on orders from Karl Kaelstrife		
<3> Priestesses of Axul	Karl Kaelstrife	Throat slit by the Silverfangs on orders from Karl Kaelstrife		
<3+> Axul men	Karl Kaelstrife	Murdered by the Silverfangs on orders from Karl Kaelstrife (several mentioned)		
