character	killed by	death	type
<10,027> Misaka Clones	Accelerator | Kihara Gensei	Murdered by Accelerator as part of the Level 6 Shift Project overseen by Kihara Gensei	
AIM Burst	Misaka Mikoto	Core destroyed by Misaka Mikoto	
Bistorio		Broke his leg and left to die by its owners	
Dolly		Passed away from natural causes (memories transferred to another clone)	revived
Kihara Gensei	Kihara Gensei | Shokuhou Misaki	Discarded his own body after being cornered by Shokuhou Misaki	physical
Kuriba Ryouko (Doppelganger)	Misaka Mikoto | Kuriba Ryouko (Doppelganger)	Destroyed by Misaka Mikoto on her own request	
Misaka 1	Accelerator | Kihara Gensei	Murdered by Accelerator as part of the Level 6 Shift Project overseen by Kihara Gensei (magazine version)	
Misaka 1	Accelerator | Misaka 1 | Kihara Gensei	Shot herself due to her bullet being redirected by Accelerator as part of the Level 6 Shift Project overseen by Kihara Gensei (tankobon version)	
Misaka 10031	Accelerator | Kihara Gensei	Blood flow reversed by Accelerator as part of the Level 6 Shift Project overseen by Kihara Gensei	
Misaka 8912	Accelerator | Kihara Gensei	Murdered by Accelerator as part of the Level 6 Shift Project overseen by Kihara Gensei	
Misaka 9982	Accelerator | Kihara Gensei	Crushed by a train carriage launched by Accelerator as part of the Level 6 Shift Project overseen by Kihara Gensei	
Shirakinu Honoka		Gunned down by armed guards	
Takebayashi Yayoi	Takebayashi Yayoi	Committed suicide while in prison	
W. G. Waitley	Sha Danshan	Devoured by a theropod controlled by Sha Danshan	
