character	killed by	death	type
<1> Kakine Teitoku's driver	Professor	Decomposed using Mimosa by the Professor	
<1> subordinate	Saku Tatsuhiko | Etzali	Executed by Saku Tatsuhiko after being framed by Etzali	
<1> vampire	Himegami Aisa	Turned to ashes after drinking Himegami Aisa's blood	
<28> people	Hino Jinsaku	Murdered in ritual killings by Hino Jinsaku	
<30+> villagers	Himegami Aisa	Transformed into vampires and turned to ashes after drinking Himegami Aisa's blood (counted minimum)	
<4,500+> mercenaries	Etzali	Slaughtered by unmanned attack helicopters, deliberately triggered by Etzali	
<4> other bus passengers		Caught in a terrorist attack aboard a double-decker bus	
<50+> mercenaries	Xochitl	Murdered by Xochitl	
Agnese Sanctis' father		Murdered for unknown reasons	
Agnese Sanctis' mother		Murdered for unknown reasons	
Amai Ao	Yoshikawa Kikyou	Shot in the heart by Yoshikawa Kikyou	
Aureolus Dummy	Aureolus Izzard | Stiyl Magnus | Kamijou Touma	Crushed by Aureolus Izzard after being incinerated by Stiyl Magnus and fatally wounded by Kamijou Touma's Imagine Breaker	
Barry Bowen		Caught in a terrorist attack aboard a double-decker bus	
Caines	Accelerator	Murdered by Accelerator	
Daedalus Sequenzia		Perished after managing to land his plane as the cost of a miracle	
Dennis	Accelerator	Murdered by Accelerator	
Depart	Accelerator	Slaughtered by Accelerator	
Ellis Warrior		Bludgeoned with a mace by operatives of the Knights of England	
Emily Laughton		Caught in a terrorist attack aboard a double-decker bus	
Frenda Seivelun	Mugino Shizuri	Cut in half at the waist by Mugino Shizuri	
Jeanette		Caught in a terrorist attack aboard a double-decker bus	
Kakine Teitoku	Accelerator	Slaughtered by Accelerator (later recreated his body via Dark Matter)	revived
Kihara Amata	Accelerator	Incinerated after being launched into the atmosphere by Accelerator	
Komaba Ritoku	Accelerator | Komaba Ritoku | Group Liaison	Shot himself due to his bullet being redirected by Accelerator on orders from the Group Liaison	
Management	Yobou Banka	Hands and head crushed by Yobou Banka	
Mike	Accelerator	Murdered by Accelerator	
Nancy	Accelerator	Jaw blown off, then kicked into a metal recycler and crushed by Accelerator	
Nikolai Tolstoy	Vasilisa	Assassinated by Vasilisa	
Parsifal	Aureolus Izzard	Fatally wounded by Aureolus Izzard	
Professor	Kakine Teitoku	Murdered by Kakine Teitoku	
Rod	Accelerator	Murdered by Accelerator	
Son of God		Crucified by the Romans (later resurrected and ascended to heaven)	
St. Andrew		Martyred by crucifixion	
St. George		Died from unknown causes	
Tecpatl	Tecpatl	Shot through the abdomen by his own grimoire	
Terra of the Left	Acqua of the Back	Smashed in half with a pillar by Acqua of the Back	
Thomas Becket		Assassinated in the Canterbury Cathedral by the British Royal Family	
Thomas Platinaburg	Stephanie Gorgeouspalace	Vital organs disabled via a transmitter by Stephanie Gorgeouspalace	
Vera	Accelerator	Murdered by Accelerator	
Yamate	Etzali	Murdered and replaced by Etzali	
Yobou Banka	Mugino Shizuri	Blasted through the torso by Mugino Shizuri	
