character	killed by	death	type	loop
<100+> Void monsters	Aidan Dar	Sliced through with a wind arc by Aidan Dar (count mentioned) (reset by Chronos via the Déjà Vu System)	undone	65
<10> Undead Warriors	Aidan Dar	Slain by Aidan Dar (340 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	38
<10> Undead Warriors	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	6
<112,000+> Tomb of Gaelith monsters	Erebus	Slain by the adventurers or eventually absorbed by Erebus (thousands mentioned, per loop, so 2 thousand * 56 loops) (reset by Dolos via his System)	undone	-55 to 0
<11> Void Spiders	Aidan Dar	Dispatched with swift attacks by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	55
<12,750,000,000+> lives	Erebus | Dolos	Destroyed alongside their world by Erebus, caused by Dolos' tempering (average population of one world as stated by author, several worlds)		
<128,000+> Tomb of Gaelith monsters	Erebus	Slain by the adventurers or eventually absorbed by Erebus (thousands mentioned, per loop, so 2 thousand * 64 loops) (reset by Chronos via the Déjà Vu System)	undone	1 to 64
<13> Undead Warriors	Aidan Dar	Slain by Aidan Dar (976 - 216 = 760 XP gained, minus 318 XP for the Undead Wolf, leaves 442 XP, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	5
<14> Void Spiders	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	36
<15> Undead Warriors	Aidan Dar	Slain by Aidan Dar (510 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	15
<17+> adventurers	Erebus	Mauled by the pack of Undead Wolves summoned by Erebus (count mentioned) (reset by Aidan Dar's Checkpoint)	undone	3
<17+> adventurers	Erebus	Mauled by the pack of Undead Wolves summoned by Erebus (count mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<17+> adventurers	Erebus	Mauled by the pack of Undead Wolves summoned by Erebus (count mentioned) (reset by Chronos via the Déjà Vu System)	undone	3
<17> Undead Warriors	Aidan Dar	Slain by Aidan Dar (578 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	36
<18> Undead Warriors	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	16
