character	killed by	death	type
<1> Crab Rider	Charles Hershtik | Peter Milroy	Burned by Charles Hershtik and stabbed by Peter Milroy	
<1> Crab Rider	Winston Smith	Shot with a hand mortar by Winston Smith	
<1> Giant Crab	Charles Hershtik	Burned to death by Charles Hershtik	
<1> Giant Crab	Winston Smith	Shot with a hand mortar by Winston Smith	
<1> Henry Evans' monkey	Henry Evans	Shot by Henry Evans	
<1> Mermaid	Robert Witterel	Shot by Robert Witterel	
<1> Mermaid	Robert Witterel	Stabbed by Robert Witterel	
<1> large cow	Emil O'Farrell | Thomas Lanke	Throat slit by Emil O'Farrell after being struck through the brain by Thomas Lanke	
<1> unidentified stowaway		Crushed while inside falling cargo	
Abigail Hoscut Witterel	Kraken	Crushed by a falling mast broken by the Kraken	
Abraham Akbar	Kraken	Crushed by the Kraken	
Alarcus Nikishin		Drowned by a Mermaid	
Aleksei Toporov		Drowned by a Mermaid	
Alexander Booth	Kraken	Drowned by the Kraken	
Alfred Klestil	Kraken	Arm torn apart by the Kraken	
Bun-Lan Lim	Edward Nichols	Clawed by a Mermaid while she had been tied up by Edward Nichols	
Charles Hershtik	Peter Milroy	Incinerated and impaled by a Crab Rider, possibly also accidentally stabbed by Peter Milroy	
Charles Miner	Kraken	Torn apart by the Kraken	
Chioh Tan		Spiked by a Mermaid	
Christian Wolff	Kraken | Abraham Akbar	Shredded by a cannon blast caused by the Kraken and Abraham Akbar	
Duncan McKay	Kraken	Drowned by the Kraken	
Edward Nichols	Chioh Tan	Shot by Chioh Tan	
Edward Spratt	Kraken	Crushed by one of the Kraken's tentacles	
Emil O'Farrell		Spiked to a wall by a Crab Rider	
Fillip Dahl	Fillip Dahl	Accidentally incinerated his own arm after reaching into the chest	
Finley Dalton	Kraken	Carried away by one of the Kraken's tentacles	
George Shirley	Kraken | Abraham Akbar	Blown out the porthole by a cannon blast caused by the Kraken and Abraham Akbar	
Hamadou Diom		Spiked by a Mermaid	
Henry Brennan	Robert Witterel	Throat slashed by Robert Witterel	
Henry Evans		Died of an illness	
Hok-Seng Lau	Henry Brennan | Christian Wolff | Robert Witterel | Edward Nichols | Li Hong	Shot by Henry Brennan on the command of Christian Wolff after being sentenced to death by Robert Witterel, framed for murder by Edward Nichols and Li Hong	
Huang Li		Struck by lightning	
It-Beng Sia	It-Beng Sia	Burned his own hand clean off after activating the chest's energy beam	
James Wallace		Decapitated by a Giant Crab	
Jie Zhang		Decapitated by a Giant Crab	
John Davies	Henry Brennan	Clubbed in the head by Henry Brennan	
John Naples	Fillip Dahl	Leg cut off by Fillip Dahl	
Lars Linde	Nathan Peters	Clubbed in the face by Nathan Peters	
Leonid Volkov	Emily Jackson	Shot by Emily Jackson	
Lewis Walker	Robert Witterel	Clubbed by Robert Witterel	
Li Hong		Speared by a Mermaid	
Maba	Kraken	Torn into two by the Kraken	
Marcus Gibbs		Spiked three times by a Crab Rider	
Martin Perrott		Spiked by a Mermaid	
Nathan Peters	Kraken	Drowned by the Kraken	
Nicholas Botterill		Speared through the chest by a Crab Rider	
Nunzio Pasqua	Edward Nichols	Stabbed by Edward Nichols	
Olus Wiater	John Davies	Shot in the face during a scuffle with John Davies	
Omid Gul	Kraken	Fell overboard during the Kraken's attack	
Patrick O'Hagan		Speared through the throat by a Mermaid	
Paul Moss	Leonid Volkov	Stabbed in the chest by Leonid Volkov	
Peter Milroy	Kraken	Caught in an explosion caused by the Kraken	
Renfred Rajub		Died of a lung disease	
Robert Witterel	Robert Witterel	Shot himself with a pistol	
Roderick Andersen	Kraken	Neck crushed by a loose cannon caused by the Kraken	
Samuel Galligan	It-Beng Sia	Stabbed in the neck by It-Beng Sia	
Samuel Peters		Crushed by falling cargo	
Soloman Syed		Died of a lung disease	
Thomas Lanke	Olus Wiater	Stabbed in the back by Olus Wiater	
Thomas Sefton		Struck in the head by a Mermaid's tail	
Timothy Butement	Edward Nichols	Shot by Edward Nichols	
Wei Lee	Kraken	Carried away by the Kraken	
William Hoscut	Robert Witterel	Shot with a pistol by Robert Witterel	
William Wasim		Neck broken after falling down the stairs due to the Mermaids' struggle	
Winston Smith		Speared by a Crab Rider	
Zungi Sathi	Charles Miner	Wounded by a Crab Rider's spike, then accidentally shot by Charles Miner	
