character	killed by	death	type
<1> Aztec Tribe Mate	Aztec Chief	Blood absorbed by the Aztec Chief	
<1> Carriage Driver		Impaled on wooden debris following a carriage accident	
<1> Chimera Zombie	Dio Brando	Stomped on by Dio Brando	
<1> Executed Zombie	Jonathan Joestar	Head smashed into bars by Jonathan Joestar	
<1> Executed Zombie	Robert E. O. Speedwagon	Head smashed in by Robert E. O. Speedwagon	
<1> Executed Zombie	Straizo	Ripped apart by Straizo	
<1> Executed Zombie	Tonpetty	Neck twisted by Tonpetty	
<1> Jack's Victim	Jack the Ripper	Neck sliced by Jack the Ripper	
<1> Lisa Lisa's Mother	Dio Brando	Axed to death by one of Dio Brando's zombies	
<1> Maiden	Aztec Chief	Stabbed in the heart by the Aztec Chief	
<1> Police Zombie	Jonathan Joestar	Stabbed in the head with a spear by Jonathan Joestar	
<1> Scotland Yard Police Officer	Dio Brando	Drained of his blood by Dio Brando	
<1> Vagrant	Dio Brando	Disintegrated by sunlight after being forcibly turned into a vampire by Dio Brando	
<1> Vagrant	Dio Brando	Stabbed in the neck by Dio Brando	
<1> Zombie Knight	Jonathan Joestar	Decapitated with a punch by Jonathan Joestar	
<1> Zombie Knight	Robert E. O. Speedwagon	Head crushed with a sledgehammer by Robert E. O. Speedwagon	
<1> Zombie Mother's Baby	Dio Brando	Devoured by his mother after she was turned into a zombie by Dio Brando	
<2> Executed Zombies	Dio Brando	Shot by Dio Brando's Space Ripper Stingy Eye	
<2> Poco's Bullies	Tarkus	Crushed to death by Tarkus	
<2> Scotland Yard Police Officers	Dio Brando	Crushed by a flinging corpse sent by Dio Brando	
<4> Zombie Knights	Will Anthonio Zeppeli	Disintegrated with Sunlight Yellow Overdrive by Will Anthonio Zeppeli	
<5> Ship Zombies	Jonathan Joestar	Caught in the ship explosion caused by Jonathan Joestar	
Adams	Jonathan Joestar	Tongue ripped out and head stomped on by Jonathan Joestar	
Bornnam	Straizo	Disintegrated by Straizo	
Bruford	Elizabeth I	Beheaded after being sentenced by Elizabeth I (resurrected as a zombie by Dio Brando)	undead
Bruford	Jonathan Joestar	Disintegrated by Jonathan Joestar	
Danny	Dio Brando	Trapped in an incinerator by Dio Brando	
Dario Brando	Dio Brando	Poisoned by Dio Brando	
Darnley		Died in an explosion	
Dire	Dio Brando	Frozen and shattered by Dio Brando	
Doobie	Jonathan Joestar	Disintegrated by Jonathan Joestar	
Father Styx	Dio Brando	Shot in the head via a booby trap set by Dio Brando	
George Joestar I	Dio Brando	Stabbed by Dio Brando	
Inspector Archer	Dio Brando	Head bisected by Dio Brando	
Jack the Ripper	Jonathan Joestar	Disintegrated by Jonathan Joestar	
Jonathan Joestar	Dio Brando	Shot in the throat by Dio Brando	
Jones	Straizo	Disintegrated by Straizo	
Mary Joestar		Died in a carriage accident	
Mary Stuart	Elizabeth I	Beheaded after being sentenced by Elizabeth I	
Page	Straizo	Disintegrated by Straizo	
Plant	Straizo	Disintegrated by Straizo	
Tarkus	Elizabeth I	Beheaded after being sentenced by Elizabeth I (resurrected as a zombie by Dio Brando)	undead
Tarkus	Jonathan Joestar	Disintegrated by Jonathan Joestar	
Wang Chan	Jonathan Joestar	Head crushed by Jonathan Joestar	
Will A. Zeppeli's Father		Vaporized by sunlight	
Will Anthonio Zeppeli	Tarkus	Sliced in half by Tarkus	
