character	killed by	death	type	mission
<10> Ceratosaur	Lightning's Party	Slain by Lightning's Party		Mission 28 - Faded Glory
<1> Adamanchelid	Lightning's Party	Slain by Lightning's Party		Mission 33 - A Parent's Pledge
<1> Adamantortoise	Lightning's Party	Slain by Lightning's Party		Mission 63 - Crushed by Doubt
<1> Adroa	Lightning's Party	Slain by Lightning's Party		Mission 38 - Moonlit Madness
<1> Amam	Lightning's Party	Slain by Lightning's Party		Mission 32 - And Then There Was One
<1> Ambling Bellows	Lightning's Party	Slain by Lightning's Party		Mission 10 - Hollow Hope
<1> Ambling Bellows	Lightning's Party	Slain by Lightning's Party		Mission 18 - So Close, Yet So Far
<1> Ambling Bellows	Lightning's Party	Slain by Lightning's Party		Mission 22 - Infernal Machine
<1> Attacus	Lightning's Party	Slain by Lightning's Party		Mission 51 - Attacus, the Soulless
<1> Bituitus	Lightning's Party	Slain by Lightning's Party		Mission 07 - Bituitus, the Pillager
<1> Borgbear	Lightning's Party	Slain by Lightning's Party		Mission 43 - The Hero Never Dies
<1> Borgbear Hero	Lightning's Party	Slain by Lightning's Party		Mission 42 - Antihero
<1> Borgbear Hero	Lightning's Party	Slain by Lightning's Party		Mission 43 - The Hero Never Dies
<1> Corrosive Custard	Lightning's Party	Slain by Lightning's Party		Mission 44 - The Old Ones go to Rust
<1> Ectopudding	Lightning's Party	Slain by Lightning's Party		Mission 01 - Pond Scum
<1> Edimmu	Lightning's Party	Slain by Lightning's Party		Mission 05 - Joyless Reunion
<1> Geiseric	Lightning's Party	Slain by Lightning's Party		Mission 12 - Geiseric, the Profane
<1> Gelatitan	Lightning's Party	Slain by Lightning's Party		Mission 21 - A Tremulous Terror
<1> Gigantuar	Lightning's Party	Slain by Lightning's Party		Mission 54 - The Bigger They Are...
<1> Goblin	Lightning's Party	Slain by Lightning's Party		Mission 43 - The Hero Never Dies
<1> Goblin Chieftain	Lightning's Party	Slain by Lightning's Party		Mission 13 - Eternity Unpromised
<1> Goblin Chieftain	Lightning's Party	Slain by Lightning's Party		Mission 15 - Tribal Warfare
<1> Goblin Chieftain	Lightning's Party	Slain by Lightning's Party		Mission 20 - Words Unspoken
<1> Goblin Chieftain	Lightning's Party	Slain by Lightning's Party		Mission 43 - The Hero Never Dies
<1> Gurangatch	Lightning's Party	Slain by Lightning's Party		Mission 23 - Natural Defenses
<1> Gurangatch	Lightning's Party	Slain by Lightning's Party		Mission 35 - The Road Less Traveled
<1> Humbaba	Lightning's Party	Slain by Lightning's Party		Mission 50 - Road to Predation
<1> Humbaba	Lightning's Party	Slain by Lightning's Party		Mission 58 - The Culler of Many
<1> Hybrid Flora	Lightning's Party	Slain by Lightning's Party		Mission 44 - The Old Ones go to Rust
<1> Juggernaut	Lightning's Party	Slain by Lightning's Party		Mission 29 - Faltering Faith
<1> Juggernaut	Lightning's Party	Slain by Lightning's Party		Mission 61 - I, Juggernaut
<1> Kaiser Behemoth	Lightning's Party	Slain by Lightning's Party		Mission 09 - Heave-ho
<1> Mithridates	Lightning's Party	Slain by Lightning's Party		Mission 27 - Mithridates, the Lone
<1> Monstrous Flan	Lightning's Party	Slain by Lightning's Party		Mission 44 - The Old Ones go to Rust
<1> Munchkin	Lightning's Party	Slain by Lightning's Party		Mission 20 - Words Unspoken
<1> Munchkin	Lightning's Party	Slain by Lightning's Party		Mission 43 - The Hero Never Dies
<1> Munchkin Maestro	Lightning's Party	Slain by Lightning's Party		Mission 06 - No Place Like Home
<1> Munchkin Maestro	Lightning's Party	Slain by Lightning's Party		Mission 20 - Words Unspoken
