character	killed by	death	type
<10> Bolivians	Taylor Garrett | Goran Pazar	Shot during a raid by Taylor Garrett on orders from Goran Pazar	
<13> Bolivians, Burmese and Chechens	Barry Berkman	Shot by Barry Berkman	
<19> gang members	Val | Andrei	Shot by Val on orders from Andrei	
<1> Bolivian		Blew himself up during a shootout with the police	
<1> Bolivian	Barry Berkman | Goran Pazar	Shot during a raid by Barry Berkman on orders from Goran Pazar	
<1> Bolivian	Chris Lucado	Shot by Chris Lucado	
<1> Burmese		Knocked out and incinerated during a shootout between the Burmese and the Chechen mafia	
<1> Chechen	Barry Berkman	Shot multiple times by Barry Berkman	
<1> client		Shot multiple times by the police	
<1> driver	Monroe Fuches	Shot by Monroe Fuches' men	
<1> driver	Traci Taylor	Accidentally shot in the head by Traci Taylor	
<1> hitman		Shot multiple times by the police	
<1> man	Barry Berkman	Shot multiple times in the chest by Barry Berkman	
<1> motorcyclist	Barry Berkman	Crashed through a windshield after being pushed by Barry Berkman	
<1> motorcyclist	Shane Taylor	Crashed after being accidentally pushed by Shane Taylor	
<1> prison guard	Chuy Flores | Cristobal Sifuentes | El Toro | NoHo Hank	Shot in the head by Chuy Flores on orders from Cristobal Sifuentes, El Toro and NoHo Hank	
<2> Chechens	Barry Berkman	Shot by Barry Berkman	
<2> WITSEC agents	Chuy Flores | Cristobal Sifuentes | El Toro | NoHo Hank	Shot in the head by Chuy Flores on orders from Cristobal Sifuentes, El Toro and NoHo Hank	
<2> men	Monroe Fuches	Shot by a hitman on orders from his client and Monroe Fuches	
<3> Bolivians	Barry Berkman | NoHo Hank	Caught in an explosion detonated by Barry Berkman on orders from NoHo Hank	
<3> Monroe Fuches' men	Val	Blown up with a grenade by Val	
<5> gang members	NoHo Hank | Andrei	Suffocated inside a silo full of sand via a trap setup by NoHo Hank on orders from Andrei	
<6> Burmese		Shot during a shootout between the Burmese and the Chechen mafia	
<6> Chechens	Monroe Fuches	Shot by Monroe Fuches' men	
<6> Monroe Fuches' men	NoHo Hank	Shot by NoHo Hank's men	
<8> Bolivians	Barry Berkman | Taylor Garrett | Goran Pazar	Shot during a raid by Barry Berkman and Taylor Garrett on orders from Goran Pazar	
Akhmal		Mauled by a panther, setup by the Bolivian mafia	
Barry Berkman	Gene Cousineau	Shot in the chest and head by Gene Cousineau	
Billy Zorillo	Nick Saint Angelo	Murdered by Nick Saint Angelo	
Bong	NoHo Hank | Andrei	Suffocated inside a silo full of sand via a trap setup by NoHo Hank on orders from Andrei	
