character	killed by	death	type
<10> Bandits (Reclaim the Roads)	The Arisen	Slain by the Arisen	
<10> Chimeras (Eradication)	The Arisen	Slain by the Arisen	
<10> Deers (The Maker's Mercy)	The Arisen	Slain by the Arisen	
<10> Geo Saurians (Burden of Proof)	The Arisen	Slain by the Arisen	
<10> Goblins (Goblin Raid)	The Arisen	Slain by the Arisen	
<10> Harpies (A Dark Chorus)	The Arisen	Slain by the Arisen	
<10> Hobgoblins (Hobble the Foe)	The Arisen	Slain by the Arisen	
<10> Phantasms (Blood and Thunder)	The Arisen	Slain by the Arisen	
<10> Saurians (Arise to Power)	The Arisen	Slain by the Arisen	
<10> Seabirds (Arise to Power)	The Arisen	Slain by the Arisen	
<10> Sulfur Saurians (Swamp Things)	The Arisen	Slain by the Arisen	
<10> Vile Eyes (Destruction)	The Arisen	Slain by the Arisen	
<10> Wolves (Hounded by Fate)	The Arisen	Slain by the Arisen	
<13> Stout Undead (Dead Weight)	The Arisen	Slain by the Arisen	
<15> Direwolves (Dire Straits)	The Arisen	Slain by the Arisen	
<15> Hellhounds (Suppression)	The Arisen	Slain by the Arisen	
<15> Snakes (Extermination)	The Arisen	Slain by the Arisen	
<15> Succubi (Fears of a Pawn)	The Arisen	Slain by the Arisen	
<15> Undead Warriors (Final Farewell)	The Arisen	Slain by the Arisen	
<1> Archydra (Destruction)	The Arisen	Slain by the Arisen	
<1> Chimera (Deny Salvation)	The Arisen	Slain by the Arisen	
<1> Chimera (The End at the Beginning)	Savan | Salde | Quince | Morganna	Slain by Savan, Salde, Quince and Morganna	
<1> Cockatrice (Come Home to Roost)	The Arisen	Slain by the Arisen	
<1> Cockatrice (Honor and Treachery)	The Arisen	Slain by the Arisen	
<1> Cyclops (Call of the Arisen)	The Arisen	Slain by the Arisen	
<1> Cyclops (Put the Eye Out)	The Arisen	Slain by the Arisen	
<1> Dire Wyrm (By Royal Decree II)	The Arisen	Slain by the Arisen	
<1> Dire Wyvern (By Royal Decree I)	The Arisen	Slain by the Arisen	
<1> Eliminator (In Aid of the Emerald King II)	The Arisen	Slain by the Arisen	
<1> Gargoyle (The Conspirators)	The Arisen	Slain by the Arisen	
<1> Goblin Chieftain (A Fortress Besieged)	The Arisen	Slain by the Arisen	
<1> Golden Knight (In Aid of the Emerald King IV)	The Arisen	Slain by the Arisen	
